TimeStep,NumberOfCells
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,4
9,4
10,4
11,5
12,5
13,6
14,6
15,6
16,7
17,9
18,10
19,10
20,10
21,13
22,15
23,19
24,20
25,22
26,25
27,28
28,34
29,36
