TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
1,1,-2.325535131977695,1,85.65384615384616,111.6923076923077,0.2,0.072,False,23.929771578839677,9.69989307547672,0
1,2,-2.102545040779362,2,74.68531468531468,112.62237762237764,0.092,0.084,False,18.89937281565905,9.69518695569728,0
1,3,-2.4527383696261933,3,87.53488372093024,124.71317829457364,0.135,0.023,False,17.331087367122947,9.546459183406332,0
2,1,-2.3550754776107343,1,86.02173913043478,111.8641304347826,0.731,0.032,False,24.93000512774975,9.464841183109536,0
2,2,-1.999674175852388,2,74.7132867132867,113.1048951048951,0.665,0.152,False,19.36013889458817,9.477319042808803,0
2,3,-2.4193923072049257,3,87.68181818181819,124.75,0.409,-0.27,False,18.006642825087077,9.370573414987104,0
3,1,-2.3587417136947173,1,86.27884615384616,111.8701923076923,0.302,0.072,False,28.58624125726268,9.348264567637331,0
3,2,-1.7600391791663876,2,73.79545454545455,114.60795454545456,0.245,-0.03,False,22.68714895330122,9.949011935183602,0
3,3,-2.3224477156438725,3,86.66438356164383,123.81506849315068,0.383,-0.066,False,20.053311438283643,9.369592524075705,0
4,1,-2.355231157811426,1,86.62037037037037,112.0601851851852,0.386,-0.038,False,30.09551393776408,9.219940202497138,0
4,2,-1.723943396673187,2,73.60555555555555,114.55,0.285,-0.007,False,23.91074989961649,9.640884633784426,0
4,3,-2.3002831526416845,3,86.4367088607595,123.56962025316456,0.212,0.022,False,21.96833273003995,9.233131272485112,0
5,1,-2.30788891937731,1,86.57142857142857,111.85714285714286,0.467,0.023,False,32.026931574849065,9.312141294198373,0
5,2,-1.7013348645880175,2,73.41538461538461,114.63076923076925,0.31,0.01,False,25.33718601927613,9.826070397516265,0
5,3,-2.2644744236461603,3,86.30357142857143,123.79761904761904,0.335,0.071,False,23.029215956562947,9.3707581399584,0
6,1,-2.302917411201259,1,86.70564516129032,111.8991935483871,0.41,0.04,False,34.36405130780586,9.270931296290708,0
6,2,-1.7014465985017675,2,73.24038461538461,114.8028846153846,0.461,-0.009,False,26.885233605998398,9.939408045456725,0
6,3,-2.2647807373032736,3,86.52747252747253,124.07692307692308,0.609,0.067,False,24.702282041354074,9.493685901507998,0
7,1,-2.2732992862978176,1,86.77946768060836,112.09505703422052,,,True,36.41500475722776,9.362471988737132,0
7,2,-1.7237523203225562,2,73.05309734513274,114.8716814159292,1.481,0.65,False,29.18864161164286,9.950209870754056,0
7,3,-2.245250792664239,3,86.60891089108911,124.42574257425744,1.419,0.724,False,27.74526872810648,9.438769415407284,0
8,4,-2.317414621764147,1,82.49019607843137,106.95424836601308,0.48,-0.072,False,21.45136616206056,9.184382403123063,1
8,2,-1.7998028651232576,2,74.31316725978648,117.92170818505338,0.597,0.146,False,36.59386905437749,9.978132650326543,0
8,3,-2.1411530105186616,3,87.94779116465864,127.90361445783132,0.695,0.26,False,34.83945057654009,9.377210413952309,0
8,5,-2.150611940253026,1,94.25730994152046,123.1345029239766,0.404,0.342,False,24.27041555632444,9.141282728534875,1
9,4,-2.3314961598328745,1,82.3452380952381,106.61309523809524,0.432,-0.09,False,23.84965856851709,9.109712951865522,1
9,2,-1.828522411129876,2,74.54635761589404,118.63907284768212,0.543,0.293,False,39.58083389295102,9.905873336150409,0
9,3,-2.134311323855139,3,88.48496240601504,129.11278195488725,0.772,0.292,False,38.3133107980224,9.180090345985311,0
9,5,-2.1210145798239552,1,95.03825136612022,124.68852459016394,0.388,0.366,False,26.291050162516857,9.02773957046577,1
10,4,-2.3440082892239613,1,82.25268817204301,106.11290322580643,0.354,-0.419,False,26.011726999815888,9.238359106192323,1
10,2,-1.8754183286660113,2,75.21846153846154,119.94769230769232,0.68,0.316,False,42.29463403264905,10.06530643263014,0
10,3,-2.113458669911417,3,89.22413793103448,130.37586206896552,,,True,42.17234945576109,9.202763097811262,0
10,5,-2.110636552120772,1,95.964824120603,126.28140703517587,0.495,-0.006,False,28.23155011049141,9.135731300170368,1
11,4,-2.424260861028907,1,81.14141414141415,104.32323232323232,0.587,0.028,False,27.78414068947387,9.186584075932226,1
11,2,-1.9552268597147036,2,76.12068965517241,121.2471264367816,0.913,0.46,False,45.69391132553325,10.250032430586565,0
11,6,-1.9850919045196194,3,83.70212765957447,120.4255319148936,0.283,-0.052,False,22.63084076269737,8.046615379209163,3
11,5,-2.0639968657392376,1,96.00921658986177,126.21198156682028,0.487,0.36,False,30.708051792809517,9.172203573264872,1
11,7,-2.1300156699443797,3,93.75796178343948,138.0764331210191,0.532,0.352,False,22.502122323719654,9.025766612057696,3
12,4,-2.5136519018667616,1,81.509009009009,104.21171171171171,0.875,0.628,False,30.720497174724684,9.346251921473367,1
12,2,-1.9807889172690247,2,77.19371727748691,123.29057591623037,,,True,50.257309183287546,10.35294348874634,0
12,6,-2.0012323743506095,3,83.85987261146497,120.0,1.46,0.413,False,24.04427573700176,8.410149097669981,3
12,5,-2.0634511043802735,1,97.0,127.72294372294373,0.537,1.21,False,33.140881303839976,9.01485864160622,1
